# Mamba-DEKF Training Log (cleaned — 75 epoch summaries)
# Source: /home/alvin/demo/Mamba-DEKF/checkpoints/trainlog_history/0530_train.log
# Cleaned: 2026-05-30 08:46:55
#
22:48:34 [INFO] Logging to checkpoints/mamba_dekf/train.log
22:48:34 [INFO] Device: cuda
22:48:47 [INFO] Train: 482130 samples, 3766 batches (K=4)
22:48:47 [INFO] Val:   91164 samples, 713 batches (K=4)
22:48:47 [INFO] TemporalMamba: 460,584 trainable parameters

07:00:53 [INFO] Epoch 62/100 (465.2s) | loss=-24.8882 (raw=-24.8651) pos=-0.3324 siz=-1.2474 ori=-1.4040 vel=-0.0813 nis=0.3591 ua=1.00 contrast=0.1093 | val=-23.8032 val_pos=-0.2911 | k_m=5.25 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
07:08:50 [INFO] Epoch 63/100 (450.0s) | loss=-24.9032 (raw=-24.8824) pos=-0.3329 siz=-1.2475 ori=-1.4044 vel=-0.0815 nis=0.3593 ua=1.00 contrast=0.0991 | val=-23.8341 val_pos=-0.2919 | k_m=5.25 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
07:16:52 [INFO] Epoch 64/100 (456.2s) | loss=-24.9249 (raw=-24.9026) pos=-0.3336 siz=-1.2478 ori=-1.4047 vel=-0.0815 nis=0.3590 ua=1.00 contrast=0.1053 | val=-23.7928 val_pos=-0.2897 | k_m=5.25 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
07:24:56 [INFO] Epoch 65/100 (458.1s) | loss=-24.9152 (raw=-24.8920) pos=-0.3334 siz=-1.2475 ori=-1.4041 vel=-0.0815 nis=0.3591 ua=1.00 contrast=0.1098 | val=-23.8475 val_pos=-0.2920 | k_m=5.25 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
07:32:54 [INFO] Epoch 66/100 (453.5s) | loss=-24.9126 (raw=-24.8894) pos=-0.3335 siz=-1.2472 ori=-1.4036 vel=-0.0823 nis=0.3592 ua=1.00 contrast=0.1097 | val=-23.9179 val_pos=-0.2953 | k_m=5.24 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
07:40:58 [INFO] Epoch 67/100 (457.0s) | loss=-24.9241 (raw=-24.9027) pos=-0.3338 siz=-1.2477 ori=-1.4038 vel=-0.0815 nis=0.3591 ua=1.00 contrast=0.1014 | val=-23.7825 val_pos=-0.2895 | k_m=5.25 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
07:49:02 [INFO] Epoch 68/100 (459.3s) | loss=-24.9187 (raw=-24.8967) pos=-0.3337 siz=-1.2474 ori=-1.4039 vel=-0.0822 nis=0.3590 ua=1.00 contrast=0.1038 | val=-23.8260 val_pos=-0.2912 | k_m=5.24 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
07:57:01 [INFO] Epoch 69/100 (453.5s) | loss=-24.9022 (raw=-24.8815) pos=-0.3334 siz=-1.2471 ori=-1.4027 vel=-0.0818 nis=0.3591 ua=1.00 contrast=0.0981 | val=-23.7715 val_pos=-0.2891 | k_m=5.24 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
08:05:02 [INFO] Epoch 70/100 (455.0s) | loss=-24.9380 (raw=-24.9171) pos=-0.3346 siz=-1.2475 ori=-1.4032 vel=-0.0822 nis=0.3592 ua=1.00 contrast=0.0990 | val=-23.7478 val_pos=-0.2880 | k_m=5.24 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
08:13:06 [INFO] Epoch 71/100 (458.0s) | loss=-24.9781 (raw=-24.9552) pos=-0.3360 siz=-1.2472 ori=-1.4043 vel=-0.0827 nis=0.3588 ua=1.00 contrast=0.1082 | val=-23.8141 val_pos=-0.2909 | k_m=5.24 k_s=0.41 k_reg=0.0014 dp_reg=0.0000 | NaN=0
08:21:08 [INFO] Epoch 72/100 (457.0s) | loss=-24.9613 (raw=-24.9410) pos=-0.3355 siz=-1.2470 ori=-1.4037 vel=-0.0827 nis=0.3590 ua=1.00 contrast=0.0966 | val=-23.8537 val_pos=-0.2924 | k_m=5.23 k_s=0.41 k_reg=0.0013 dp_reg=0.0000 | NaN=0
